url,supermercado,nombre,precio_normal
https://www.masonline.com.ar/galletitas-rellenas-terrabusi-melba-360-gr-2/p,Masonline,Galletitas Rellenas Terrabusi Melba 360 Gr,
https://www.carrefour.com.ar/galletitas-surtido-diversion-en-bolsa-400-g-737813/p,Carrefour,Galletitas surtido Diversión en bolsa 400 g.,0
https://www.masonline.com.ar/jugo-baggio-pronto-naranja-1-l/p,Masonline,Jugo Baggio Pronto Naranja 1 L,
https://www.masonline.com.ar/polenta-instantanea-molinos-ala-500-g/p,Masonline,Polenta Instantánea Molinos Ala 500 G,
