url,supermercado,nombre,error_type,precio_normal
https://depotexpress.com.ar/productos/bebidas-s-alcohol/aguas/agus-aquarius-pom-rdo-2-25x/,,,exception,
https://www.carrefour.com.ar/galletita-rellena-de-limon-carrefour-classic-30-g-738861/p,Carrefour,Galletita rellena de limón Carrefour Classic 30 g.,,0
https://www.carrefour.com.ar/yerba-la-tranquera-liviana-1-kg-713946/p,,,no_name,
https://www.carrefour.com.ar/vino-tinto-malbec-cosecha-elegido-norton-750-cc-586173/p,Carrefour,Vino tinto Malbec Cosecha Elegido Nortón 750 ml,,0
https://www.carrefour.com.ar/jugo-de-pomelo-exprimido-puro-sol-tetra-1-lt/p,Carrefour,Jugo de pomelo exprimido Puro Sol tetra 1 lt.,,0
