url,success,error_type,precio_descuento,precio_normal,unidad,titulo,raw_nombre
https://www.carrefour.com.ar/harina-de-trigo-barbara-000-x-1-kg-573044/p,True,,5,5,1 K.,,Harina de trigo Bárbara 000 x 1 kg
https://www.carrefour.com.ar/acelga-x-atado-744145/p,True,,1499,5,1 U.,,Acelga x atado.
https://www.carrefour.com.ar/cacao-en-polvo-chocolino-bolsa-180-g/p,True,,2289,189174,1 K.,,Cacao en polvo Chocolino bolsa 180 g.
https://www.carrefour.com.ar/galletitas-crackers-la-providencia-101-g/p,True,,34959,34959,1 K.,,Galletitas crackers La Providencia 101 g.
https://www.carrefour.com.ar/galletitas-carrefour-classic-con-chips-chocolate-172-grs-664917/p,True,,141510,1590,1 K.,,Galletitas Carrefour Classic con chips chocolate 172 grs
