url,success,error_type,precio_descuento,precio_normal,unidad,titulo,raw_nombre
https://www.carrefour.com.ar/jugo-de-naranja-natural-pura-frutta-salustiana-1-lt-723825/p,True,,1,1,1 L.,,Jugo de naranja natural Pura frutta salustiana 1 lt.
https://www.carrefour.com.ar/galletitas-de-avena-bulnez-con-chips-175-grs-758858/p,True,,1,1,1 K.,,Galletitas de avena Bulnez con chips 175 grs
https://www.carrefour.com.ar/galletitas-de-avena-y-semilla-bulnez-175-grs-758859/p,True,,1307,1,1 K.,,Galletitas de avena y semilla Bulnez 175 grs
https://www.carrefour.com.ar/te-verde-green-hills-saquitos-momentos-x-50-uni-691016/p,True,,4499,1,1 K.,,Té verde Green Hills saquitos momentos x 50 uni
https://www.carrefour.com.ar/yogur-bebible-bulnez-sabor-frutilla-900-grs-754974/p,True,,1,1,1 L.,,Yogur bebible Bulnez sabor frutilla 900 grs
