url,supermercado,nombre,error_type,precio_normal
https://depotexpress.com.ar/productos/bebidas-c-alcohol/cerveza/cerv-quilmes-stout-lat-473x/,,,exception,
https://www.delimart.com.ar/acelga_por_1200g_aprox,,,exception,
https://www.carrefour.com.ar/queso-crema-la-paulina-tradicional-290-g/p,,,404,
https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-legitimo-15-lt-15122/p,Dia,Aceite De Girasol Legitimo 15 Lt 15122,,0.0
https://www.carrefour.com.ar/galletitas-formis-vainilla-rellenas-frutilla-72-g-712646/p,,Galletitas Formis vainilla rellenas frutilla 72 g.,no_disponible,
https://depotexpress.com.ar/productos/comestibles/cop-cronwell-papa-frit-500x/,,,exception,
https://www.delimart.com.ar/cafe_instantaneo_nescafe_dolca_suave_x_50_gr,,,exception,
https://depotexpress.com.ar/productos/bebidas-c-alcohol/blancas-y-licores/gin-tanqueray-royale-700x/,,,exception,
https://www.carrefour.com.ar/alimento-seco-para-gato-sabrositos-pescado-3-kg-670856/p,,,404,
https://www.carrefour.com.ar/aceite-de-girasol-canuelas-900-cc/p,,Aceite de girasol Cañuelas 900 cc.,no_disponible,
https://www.delimart.com.ar/carne_molida_especial_aguma_aprox_1kg,,,exception,
https://www.carrefour.com.ar/asado-novillito-x-kg-8186/p,,Asado Novillito x kg.,no_disponible,
https://www.carrefour.com.ar/vino-tinto-malbec-marcus-750-cc/p,,Vino tinto Malbec Marcus 750 ml,no_disponible,
https://www.carrefour.com.ar/mortadela-con-queso-paladini-300-g/p,,Mortadela con queso Paladini 300 g.,no_disponible,
https://www.carrefour.com.ar/gaseosa-pomelo-paso-de-los-toros-225-lts-15444/p,,"Gaseosa pomelo Paso de los Toros 2,25 lts",no_disponible,
https://www.carrefour.com.ar/vinagre-de-alcohol-alcazar-1-l/p,,,404,
https://depotexpress.com.ar/productos/desayuno/merm-dulcor-dura-pot-500x/,,,exception,
https://www.carrefour.com.ar/galleta-dulce-scons-terrabusi-160-g-682549/p,,Galletitas dulces Scons Terrabusi 160 g.,no_disponible,
https://www.carrefour.com.ar/alimento-a-base-de-queso-rallado-la-quesera-100-g-664368/p,,Alimento a base de queso rallado La quesera 100 g.,no_disponible,
https://depotexpress.com.ar/productos/bebidas-c-alcohol/aperitivos/fernet-branca-x-450c-c/,,,exception,
https://depotexpress.com.ar/productos/limpieza/jarp-ala-ecolav-mat-3x/,,,exception,
https://www.carrefour.com.ar/whisky-johnnie-walker-red-label-botella-750-ml-6725/p,,Whisky Johnnie Walker red label botella 750 ml,no_disponible,
https://www.delimart.com.ar/jugo_de_naranaja_la_campagnola_bc_x_1_lt,,,exception,
https://www.carrefour.com.ar/mermelada-carrefour-classic-de-arandanos-454-g-739420/p,,Mermelada Carrefour Classic de arándanos 454 g.,no_disponible,
https://www.carrefour.com.ar/leche-entera-lechelita-uat-tetra-1-l-689731-689731/p,,Leche entera Lechelita uat tetra 1 l.,no_disponible,
https://www.carrefour.com.ar/galletitas-vainilla-portenitas-139-g/p,,Galletitas vainilla Porteñitas 139 g.,no_disponible,
