url,supermercado,nombre,error_type,precio_normal
https://diaonline.supermercadosdia.com.ar/huevo-blanco-extragrande-opi-6-ud-114868/p,Dia,Huevo Blanco Extragrande Opi 6 Ud 114868,,0.0
https://diaonline.supermercadosdia.com.ar/papas-fritas-lays-clasicas-x-85-gr-172869/p,Dia,Papas Fritas Lays Clasicas X 85 Gr 172869,,0.0
https://diaonline.supermercadosdia.com.ar/papas-fritas-sabor-a-jamon-serrano-lays-x-77-gr-213435/p,Dia,Papas Fritas Sabor A Jamon Serrano Lays X 77 Gr 213435,,0.0
https://diaonline.supermercadosdia.com.ar/te-negro-morenita-25-ud-307681/p,Dia,Te Negro Morenita 25 Ud 307681,,0.0
https://diaonline.supermercadosdia.com.ar/te-la-morenita-comun-50-ud-273325/p,Dia,Te La Morenita Comun 50 Ud 273325,,0.0
,,,"EXCEPTION: Message: invalid argument
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd396]
	chromedriver!(No symbol) [0x7ff7b43c9944]
	chromedriver!(No symbol) [0x7ff7b43c7d05]
	chromedriver!(No symbol) [0x7ff7b43c8272]
	chromedriver!(No symbol) [0x7ff7b43e1866]
	chromedriver!(No symbol) [0x7ff7b44856c4]
	chromedriver!(No symbol) [0x7ff7b446005a]
	chromedriver!(No symbol) [0x7ff7b448486f]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",
https://diaonline.supermercadosdia.com.ar/dentifrico-extra-blancura-con-bicarbonato-oral-b-180-gr-304310/p,Dia,Dentifrico Extra Blancura Con Bicarbonato Oral B 180 Gr 304310,,0.0
https://diaonline.supermercadosdia.com.ar/tampon-regular-nosotras-8-ud-308301/p,Dia,Tampon Regular Nosotras 8 Ud 308301,,0.0
https://www.carrefour.com.ar/galletitas-vainilla-portenitas-139-g/p,Carrefour,Galletitas vainilla Porteñitas 139 g.,,0
https://www.carrefour.com.ar/galletitas-pepa-arcor-183-grs-748628/p,Carrefour,Galletitas pepa Arcor 183 grs,,0
https://www.carrefour.com.ar/galletitas-mana-de-vainilla-livianas-136-g-704898/p,Carrefour,Galletitas Maná de vainilla livianas 136 g.,,0
https://www.carrefour.com.ar/galletitas-surtido-diversion-en-bolsa-400-g-737813/p,Carrefour,Galletitas surtido Diversión en bolsa 400 g.,,0
https://www.carrefour.com.ar/galletitas-chocolinas-de-chocolate-170-g-736894/p,Carrefour,Galletitas Chocolinas de chocolate 170 g.,,0
https://www.carrefour.com.ar/galletitas-dulces-variedad-terrabusi-mix-tamano-familiar-390-g-714816/p,Carrefour,Galletitas dulces Variedad Terrabusi mix tamaño familiar 390 g.,,0
https://www.carrefour.com.ar/galletitas-chocolate-rellena-coco-rumba-x3-110-g-739662/p,,,no_name,
https://www.carrefour.com.ar/galletitas-mana-de-vainilla-livianas-fp-3x-136-g-704899/p,,,no_name,
https://www.carrefour.com.ar/galletitas-pepas-carrefour-classic-300-g/p,Carrefour,Galletitas pepas Carrefour classic 300 g.,,0
https://www.carrefour.com.ar/galletitas-frambuesa-rell-fruti-sonrisas-3-108-g/p,,,no_name,
https://www.carrefour.com.ar/galletitas-pepas-carrefour-500-g/p,,,no_name,
https://www.carrefour.com.ar/vainillas-carrefour-flow-pack-444-g-700137/p,,,no_name,
https://www.carrefour.com.ar/galletitas-merengadas-fresa-3-x-88-g-708528/p,,,no_name,
https://www.carrefour.com.ar/tartaleta-frutos-rojos-carrefour-classic-300-g-736428/p,Carrefour,Tartaleta frutos rojos Carrefour Classic 300 g.,,0
https://www.carrefour.com.ar/galletitas-dulces-les-tablettes-con-chocolate-y-corazon-con-leche-carrefour-extra-140-grs-759598/p,Carrefour,Galletitas dulces Les Tablettes con chocolate y corazón con leche Carrefour Extra 140 grs,,0
https://www.carrefour.com.ar/galletitas-de-chocolate-macucas-85-g-744854/p,Carrefour,Galletitas de chocolate Macucas 85 g.,,0
https://www.carrefour.com.ar/galletitas-formis-vainilla-rellenas-chocolate-102-g-712647/p,Carrefour,Galletitas Formis vainilla rellenas chocolate 102 g.,,0
