url,supermercado,nombre,error_type,precio_normal
https://diaonline.supermercadosdia.com.ar/huevo-blanco-extragrande-opi-6-ud-114868/p,Dia,Huevo Blanco Extragrande Opi 6 Ud 114868,,0.0
https://diaonline.supermercadosdia.com.ar/te-negro-morenita-25-ud-307681/p,Dia,Te Negro Morenita 25 Ud 307681,,0.0
https://diaonline.supermercadosdia.com.ar/te-la-morenita-comun-50-ud-273325/p,Dia,Te La Morenita Comun 50 Ud 273325,,0.0
,,,"EXCEPTION: Message: invalid argument
  (Session info: chrome=149.0.7827.54)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff6cb333435+14875]
	chromedriver!GetHandleVerifier [0x7ff6cb333490+148d0]
	chromedriver!(No symbol) [0x7ff6cae87576]
	chromedriver!(No symbol) [0x7ff6cae73a28]
	chromedriver!(No symbol) [0x7ff6cae71e5b]
	chromedriver!(No symbol) [0x7ff6cae723e2]
	chromedriver!(No symbol) [0x7ff6cae8ba36]
	chromedriver!(No symbol) [0x7ff6caf2f824]
	chromedriver!(No symbol) [0x7ff6caf0a27a]
	chromedriver!(No symbol) [0x7ff6caf2e9fc]
	chromedriver!(No symbol) [0x7ff6caed3eb0]
	chromedriver!(No symbol) [0x7ff6caed4e23]
	chromedriver!GetHandleVerifier [0x7ff6cb916c91+5f80d1]
	chromedriver!GetHandleVerifier [0x7ff6cb91101b+5f245b]
	chromedriver!GetHandleVerifier [0x7ff6cb936305+617745]
	chromedriver!GetHandleVerifier [0x7ff6cb3503ee+3182e]
	chromedriver!GetHandleVerifier [0x7ff6cb358b0c+39f4c]
	chromedriver!GetHandleVerifier [0x7ff6cb33cb04+1df44]
	chromedriver!GetHandleVerifier [0x7ff6cb33cc94+1e0d4]
	chromedriver!GetHandleVerifier [0x7ff6cb320997+1dd7]
	KERNEL32!BaseThreadInitThunk [0x7ff99f82e957+17]
	ntdll!RtlUserThreadStart [0x7ff9a0a4427c+2c]
",
https://diaonline.supermercadosdia.com.ar/dentifrico-extra-blancura-con-bicarbonato-oral-b-180-gr-304310/p,Dia,Dentifrico Extra Blancura Con Bicarbonato Oral B 180 Gr 304310,,0.0
https://diaonline.supermercadosdia.com.ar/suavizantes-para-ropa-vivere-explosion-floral-plancha-facil-doypack-810-ml-307704/p,Dia,Suavizantes Para Ropa Vivere Explosion Floral Plancha Facil Doypack 810 Ml 307704,,0.0
https://www.carrefour.com.ar/galletitas-pepa-arcor-183-grs-748628/p,,Galletitas pepa Arcor 183 grs,no_disponible,
https://www.carrefour.com.ar/galletitas-mana-de-vainilla-livianas-136-g-704898/p,,Galletitas Maná de vainilla livianas 136 g.,no_disponible,
https://www.carrefour.com.ar/galletitas-mana-de-vainilla-livianas-fp-3x-136-g-704899/p,,,404,
https://www.carrefour.com.ar/galletitas-chocolinas-de-chocolate-170-g-736894/p,,Galletitas Chocolinas de chocolate 170 g.,no_disponible,
https://www.carrefour.com.ar/vainillas-carrefour-flow-pack-444-g-700137/p,,,404,
https://www.carrefour.com.ar/galletitas-pepas-carrefour-classic-300-g/p,,Galletitas pepas Carrefour classic 300 g.,no_disponible,
https://www.carrefour.com.ar/tartaleta-frutos-rojos-carrefour-classic-300-g-736428/p,,Tartaleta frutos rojos Carrefour Classic 300 g.,no_disponible,
https://www.carrefour.com.ar/galletitas-de-chocolate-macucas-85-g-744854/p,,Galletitas de chocolate Macucas 85 g.,no_disponible,
https://www.carrefour.com.ar/galletitas-formis-vainilla-rellenas-frutilla-72-g-712646/p,,Galletitas Formis vainilla rellenas frutilla 72 g.,no_disponible,
