url,supermercado,nombre,error_type,precio_normal
https://www.delimart.com.ar/queso_cremoso_tregar_fraccionado_1kg_aprox,,,exception,
https://www.delimart.com.ar/queso_cremoso_cremigal_fracc_aprox_900g,,,exception,
https://www.delimart.com.ar/dulce_de_leche_clasico_ilolay_405_gr,,,exception,
https://www.delimart.com.ar/mayonesa_dfisesta_475_gr,,,exception,
https://www.delimart.com.ar/jugo_de_naranaja_la_campagnola_bc_x_1_lt,,,exception,
https://www.delimart.com.ar/cafe_instantaneo_nescafe_dolca_suave_x_50_gr,,,exception,
https://www.delimart.com.ar/cafe_instantaneo_dolca_nescafe_x_100_gr,,,exception,
https://www.delimart.com.ar/cafe_instantaneo_nescafe_dolca_aroma_original_50_g,,,exception,
https://www.delimart.com.ar/cafe_instantaneo_nescafe_dolca_original_170_gr,,,exception,
https://www.delimart.com.ar/cafe_la_morenita_torrado_intenso_100_gr,,,exception,
https://www.delimart.com.ar/cafe_instantaneo_tradicion_nescafe_x170_gr,,,exception,
https://www.delimart.com.ar/yerba_mate_suave_4f_union_500_gr,,,exception,
https://www.delimart.com.ar/pera_el_kilo_a,,,exception,
https://www.delimart.com.ar/batata__el_kg_a,,,exception,
https://www.delimart.com.ar/papa_blanca_el_kg_a,,,exception,
https://www.delimart.com.ar/acelga_por_1200g_aprox,,,exception,
https://www.delimart.com.ar/cebolla_el_kg_a,,,exception,
https://www.delimart.com.ar/choclo_en_grano_dona_pupa_340_gr,,,exception,
https://www.delimart.com.ar/choclo_en_grano_amarillo_bahia_x170g,,,exception,
https://www.delimart.com.ar/conserva_granos_de_choclo_amarillo_entero_arcor_x_205_gr,,,exception,
https://www.delimart.com.ar/lechuga_criolla__bolsa_x250_gr,,,exception,
https://www.delimart.com.ar/tomate_perita_el_kilo_a,,,exception,
https://www.delimart.com.ar/tomate_perita_x_1_kg_2da_seleccion_blando-manchas,,,exception,
https://www.delimart.com.ar/zanahorias_el_kilo_a,,,exception,
https://www.delimart.com.ar/zapallo_brasilero_chico_hasta_2_kg_aprox,,,exception,
https://www.delimart.com.ar/zapallo_brasilero_mediano_2_kg_a_4_kg_aprox,,,exception,
https://www.delimart.com.ar/limon_el_kilo_a,,,exception,
https://www.delimart.com.ar/jabon_palmolive_frescura_purificante_3x_90_gr,,,exception,
https://www.delimart.com.ar/jabon_de_tocador__plusbelle_bradiante_x120_g,,,exception,
https://www.delimart.com.ar/jabon_de_tocador_dove_original_original_individual_90_gr,,,exception,
https://www.delimart.com.ar/jabon_dove_antibacterial_cuida__protege_90_gr,,,exception,
https://www.delimart.com.ar/jabon_rexona_glicerina_citrus_x_90_grs,,,exception,
https://www.delimart.com.ar/jabon_lux_orquidea_negra_x3_125_gr,,,exception,
https://www.delimart.com.ar/jabon_rexona_antibacterial_con_aloe_90_gr,,,exception,
https://www.delimart.com.ar/shampoo_sedal_acido_hialuronico_y_vitamina_a_190_ml,,,exception,
https://www.delimart.com.ar/shampoo_sedal_restauracion_instantanea_190_ml,,,exception,
https://www.delimart.com.ar/shampoo_head__shoulders_manzana_fresh__180ml,,,exception,
https://www.delimart.com.ar/shampoo_suave_brilloceramidas_930_ml,,,exception,
https://www.delimart.com.ar/shampoo_guisseny_x_900_ml_repara_granadacabellos_tenidos,,,exception,
https://www.delimart.com.ar/shampoo_clear_men_anticaspa_caida_control_x200ml,,,exception,
https://www.delimart.com.ar/shampoo_pantene_keratina_repara_y_protege_200_ml,,,exception,
https://www.delimart.com.ar/shampoo_color_vive_elvive_loreal_paris_x_200_ml2,,,exception,
https://www.delimart.com.ar/shampoo_plusbelle_1lt_nutricion_cremosa,,,exception,
https://www.delimart.com.ar/shampoo_dove_reconstruccion_completa_200_ml,,,exception,
https://www.delimart.com.ar/acondicionador_crema_balance_190_ml,,,exception,
https://www.delimart.com.ar/dermo_acondicionador_head__shoulders_hidratacion_coco_300_ml,,,exception,
https://www.delimart.com.ar/acondicionador_suave_brilloceramidas_930_ml,,,exception,
https://www.delimart.com.ar/acondicionador_guisseny_x_900_ml__brillo_ceramidas,,,exception,
https://www.delimart.com.ar/acondicionador_estrella_200_ml,,,exception,
https://www.delimart.com.ar/acondicionador_tresemme_cauterizacion_reparadora_250_ml,,,exception,
https://www.delimart.com.ar/acondicionador_dove_reconstruccion_completa_x_200_ml,,,exception,
https://www.delimart.com.ar/acondicionador_plusbelle_1lt_hidratacion_nutritiva,,,exception,
https://www.delimart.com.ar/desodorante_dove_roll_on_original_50_ml,,,exception,
https://www.delimart.com.ar/desodorante_dove_roll_on_insible_dry_50_ml,,,exception,
