url,supermercado,nombre,error_type,precio_normal
https://www.carrefour.com.ar/soda-carrefour-classic-600-ml-740284/p,,,404,
https://diaonline.supermercadosdia.com.ar/acondicionador-fortalecimiento-palta-dove-400ml-293989/p,Dia,Acondicionador Fortalecimiento Palta Dove 400Ml 293989,,0.0
