url,supermercado,nombre,error_type,precio_normal
https://www.carrefour.com.ar/galletitas-gold-mundo-anillos-chocolate-y-vainilla-250-g-621326/p,,Galletitas Gold Mundo anillos chocolate y vainilla 250 g.,no_disponible,
https://www.carrefour.com.ar/fideos-tallarines-marolio-500-g-746925/p,,Fideos tallarines Marolio 500 g.,no_disponible,
https://www.delimart.com.ar/papas_fritas_lays_x_134_gr,,,exception,
https://www.delimart.com.ar/aceite_de_girasol_familia_vicentin_900_ml,,,exception,
https://diaonline.supermercadosdia.com.ar/suavizantes-para-ropa-vivere-explosion-floral-plancha-facil-doypack-810-ml-307704/p,Dia,Suavizantes Para Ropa Vivere Explosion Floral Plancha Facil Doypack 810 Ml 307704,,0.0
https://www.carrefour.com.ar/choclo-en-granos-arcor-amarillo-lata-300-g-699528-699528/p,,Choclo en granos Arcor amarillo lata 300 g.,no_disponible,
https://depotexpress.com.ar/productos/bebidas-c-alcohol/cerveza/cerv-antares-kolch-lata-473x/,,,exception,
https://www.carrefour.com.ar/palitos-salados-bulnez-120-g-745556/p,,Palitos salados Bulnez 120 g.,no_disponible,
https://www.carrefour.com.ar/galletitas-merengadas-fresa-x3-264-grs-708528/p,,,404,
https://diaonline.supermercadosdia.com.ar/dentifrico-extra-blancura-con-bicarbonato-oral-b-180-gr-304310/p,Dia,Dentifrico Extra Blancura Con Bicarbonato Oral B 180 Gr 304310,,0.0
https://www.carrefour.com.ar/detergente-liquido-ala-concentrado-limon-botella-500-ml-722418/p,,Detergente Líquido Ala + Concentrado Limón Botella 500 ml,no_disponible,
https://www.carrefour.com.ar/gaseosa-crush-pomelo-amarillo-2-25-lts-337554/p,,"Gaseosa Crush pomelo amarillo 2,25 lts",no_disponible,
