nombre,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,url,id_link_producto
CALD MOLTO VERDURA 6X,879.71,879.71,0,,Ninguno,2026-06-13,Depot,https://depotexpress.com.ar/productos/comestibles/cald-molto-verdura-6x/,3510
GAS MIRINDA NJA 2.25X,2224.37,2224.37,0,,Ninguno,2026-06-13,Depot,https://depotexpress.com.ar/productos/bebidas-s-alcohol/gaseosas/gas-mirinda-nja-2-25x/,3535
HAROLDOS ESTATE BONARDA 750X,4874.82,4874.82,0,,Ninguno,2026-06-13,Depot,https://depotexpress.com.ar/productos/bebidas-c-alcohol/vinos-y-espumantes/vinf-l-harold-estate-bonarda-750x/,3599
AGUS AQUARIUS POMELO 2.25X,2200.00,2200.00,0,,Ninguno,2026-06-13,Depot,https://depotexpress.com.ar/productos/bebidas-s-alcohol/aguas/agus-aquarius-pomelo-2-25x/,3544
ALIMENTO P/PERRO PEDIG POUCH CARNE SALSA 100X,705.87,705.87,0,,Ninguno,2026-06-13,Depot,https://depotexpress.com.ar/productos/alimentos-para-mascotas/alpp-pedig-pouch-carne-salsa-100x/,3764
