nombre,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,url,id_link_producto,producto_nombre,fecha_extraccion,error_type,titulo
Azúcar Ledesma molida superior bolsa 1 kg.,1565,1565,1565,1 K.,Ninguno,2026-06-22,Carrefour,https://www.carrefour.com.ar/azucar-ledesma-molida-superior-bolsa-1-kg/p,2964,,,,
Caldos De Verduras Knorr x12 Cubos,3281.46,3281.46,0,,Ninguno,2026-06-22,Delimart,https://www.delimart.com.ar/caldos_de_verduras_knorr_x12_cubos,4005,,,,
Mermelada Naranja BC 390 Gr,5213.17,5213.17,0,,Ninguno,2026-06-22,Delimart,https://www.delimart.com.ar/mermelada_naranja_bc_390_gr,4030,,,,
Vino Finjamos Demencia x750cc Malbec,4882.84,4150.41,0,,Ninguno,2026-06-22,Delimart,https://www.delimart.com.ar/vino_finjamos_demencia_x750cc_malbec,4140,,,,
ARR LA CORRENTINA 5/0 1X,2325.00,2325.00,0,,Ninguno,2026-06-22,Depot,https://depotexpress.com.ar/productos/ofertas/arroz-la-correntina-00000-x-1kg/,3460,,,,
PURE DE LA HUERTA 210X,504.89,504.89,0,,Ninguno,2026-06-22,Depot,https://depotexpress.com.ar/productos/comestibles/pure-de-la-huerta-210x/,3511,,,,
FERN BUHERO 750X,8990.00,8990.00,0,,Ninguno,2026-06-22,Depot,https://depotexpress.com.ar/productos/bebidas-c-alcohol/aperitivos/fern-buhero-750x/,3629,,,,
Yerba Mate Amanda Suave 500 Gr.,2860.0,2860.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/yerba-mate-amanda-suave-500-gr-271840/p,2495,Yerba Mate Amanda Suave 500 Gr.,2026-06-22 17:35:27,,
GALS L.PROVIDENCIA 303X,940.78,940.78,0,,Ninguno,2026-06-22,Depot,https://depotexpress.com.ar/productos/desayuno/gals-l-providencia-303x/,3447,,,,
Cerveza Salta Cautiva Session Ipa 473 ml,2850,2137.50,6025.37,1 L.,2do al 50% max 48 unidades combinable salta cautiva,2026-06-22,Carrefour,https://www.carrefour.com.ar/cerveza-salta-cautiva-session-ipa-473-ml-737640/p,3148,,,,
CCAO CHOCOLINO PLUS FORTIF 180X,1767.57,1767.57,0,,Ninguno,2026-06-22,Depot,https://depotexpress.com.ar/productos/desayuno/cacao-en-polvo-chocolino-180x/,3665,,,,
Galletitas mini Frolitas Carrefour classic 300 g.,2090,1922.80,6409.33,1 K.,Ninguno,2026-06-22,Carrefour,https://www.carrefour.com.ar/galletitas-mini-frolitas-carrefour-classic-300-g/p,2754,,,,
Lavandina DIA Triple Acción 1 Lt.,1490.0,1490.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/lavandina-dia-triple-accion-1-lt-275291/p,2620,Lavandina DIA Triple Acción 1 Lt.,2026-06-22 17:36:35,,
Margarina en pan Danica clásica 200 g.,2349,1761.75,11745,1 K.,2do al 50% max 8 unidades combinable danica,2026-06-22,Carrefour,https://www.carrefour.com.ar/margarina-en-pan-danica-clasica-200-g-726170/p,2889,,,,
Papel higiénico Bulnez hoja simple x4 30 mts,1567,1567,391.75,1 U.,Ninguno,2026-06-22,Carrefour,https://www.carrefour.com.ar/papel-higienico-bulnez-hoja-simple-x4-30-mts-769298/p,3346,,,,
