supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,fecha,error_type,titulo
Dia,Snacks Kesitas Rex 125 Gr.,Snacks Kesitas Rex 125 Gr.,2260.0,2260.0,,,,https://diaonline.supermercadosdia.com.ar/snacks-kesitas-rex-125-gr-218421/p,2026-06-22 19:13:21,2377,,,
Depot,,JABE LUX JAZMIN 125X,821.92,821.92,0,,Ninguno,https://depotexpress.com.ar/productos/tocador-y-cosmtica/jabe-lux-jazmin-125x/,,3695,2026-06-22,,
,,Maggi Caldo de Carne Menos Sodio 12 uni,,,,,,https://www.carrefour.com.ar/maggi-caldo-de-carne-menos-sodio-12-uni-723124/p,,3009,,no_disponible,Carrefour
Delimart,,Yogur Bebible Entero De Vainilla Gran Compra 900 G,1798.81,1798.81,0,,Ninguno,https://www.delimart.com.ar/yogur_bebible_entero_de_vainilla_gran_compra_900_g,,3941,2026-06-22,,
Dia,Queso Rallado Tregar 120 Gr.,Queso Rallado Tregar 120 Gr.,5539.0,5539.0,,,,https://diaonline.supermercadosdia.com.ar/queso-rallado-tregar-120-gr-273713/p,2026-06-22 19:14:12,2265,,,
Carrefour,,Antitranspirante en gel Secret Coconut 45 grs,9500,9500,211111.11,1 K.,Ninguno,https://www.carrefour.com.ar/antitranspirante-en-gel-secret-coconut-45-grs-768978/p,,3328,2026-06-22,,
,,Galletitas sandwich Mediatarde x5 535 grs,,,,,,https://www.carrefour.com.ar/galletitas-sandwich-mediatarde-x5-353-grs-733628/p,,2814,,no_disponible,Carrefour
,,Galletitas crackers La Providencia 505 g.,,,,,,https://www.carrefour.com.ar/galletitas-crackers-la-providencia-505-g/p,,2813,,no_disponible,Carrefour
Delimart,,Cereal Azucarado Skarchitos 500gr,3570.53,3570.53,0,,Ninguno,https://www.delimart.com.ar/cereal_azucarado_skarchitos_500gr,,3949,2026-06-22,,
Delimart,,Whisky Jack Daniels 750 ml,42385.71,42385.71,0,,Ninguno,https://www.delimart.com.ar/whisky_jack_daniels_750_ml,,4173,2026-06-22,,
,,,,,,,,https://www.carrefour.com.ar/vainillas-carrefour-flow-pack-444-g-700137/p,,2675,,404,Carrefour - Las mejores ofertas en supermercados
Dia,Galletitas Crackers Sandwich Traviata 324 Gr.,Galletitas Crackers Sandwich Traviata 324 Gr.,2075.0,2075.0,,,,https://diaonline.supermercadosdia.com.ar/galletitas-crackers-sandwich-traviata-324-gr-134643/p,2026-06-22 19:15:17,2213,,,
Depot,,CERV AMSTEL LAGER LATA 473X,1947.32,1947.32,0,,Ninguno,https://depotexpress.com.ar/productos/bebidas-c-alcohol/cerveza/cerv-amstel-lager-lata-473x/,,3565,2026-06-22,,
Delimart,,Papel Higienico Campanita Soft Xl SH 4 x 80 Mts,3067.88,3067.88,0,,Ninguno,https://www.delimart.com.ar/papel_higienico_campanita_soft_xl_sh_4_x_80_mts,,4346,2026-06-22,,
Delimart,,Cereales Aritos Con Miel Granix 130 G,2145.02,2145.02,0,,Ninguno,https://www.delimart.com.ar/cereales_aritos_con_miel_granix_130_g,,3948,2026-06-22,,
Dia,Cerveza Andes Origen IPA Andina Lata 473 Ml.,Cerveza Andes Origen IPA Andina Lata 473 Ml.,2392.5,3190.0,,,,https://diaonline.supermercadosdia.com.ar/cerveza-andes-origen-ipa-andina-lata-473-ml-298961/p,2026-06-22 19:16:04,2403,,,
Depot,,GIN BOMBAY BRAMBLE 700X,64459.96,64459.96,0,,Ninguno,https://depotexpress.com.ar/productos/bebidas-c-alcohol/blancas-y-licores/gin-bombay-bramble-700x/,,3652,2026-06-22,,
Depot,,COP CRONWELL PALITO SAL QUESO 100X,904.60,904.60,0,,Ninguno,https://depotexpress.com.ar/productos/comestibles/cop-cronwell-palito-sal-queso-100x/,,3554,2026-06-22,,
Depot,,VINF ALMA MORA MALBEC 750X,5148.30,5148.30,0,,Ninguno,https://depotexpress.com.ar/productos/bebidas-c-alcohol/vinos-y-espumantes/vino-alma-mora-malbec-x-750-c-c/,,3609,2026-06-22,,
Carrefour,,Huevo blanco Avicola Santa Ana carton 6 uni,2500,2500,416.67,1 U.,Ninguno,https://www.carrefour.com.ar/huevo-blanco-avicola-santa-ana-carton-6-uni-432936/p,,2962,2026-06-22,,
Depot,,ACON SEDAL LISO PERF 340X,2881.34,2881.34,0,,Ninguno,https://depotexpress.com.ar/productos/tocador-y-cosmtica/acon-sedal-liso-perf-340x/,,3703,2026-06-22,,
Depot,,MERM ARCOR DAMASCO 454X,2740.37,2740.37,0,,Ninguno,https://depotexpress.com.ar/productos/desayuno/merm-arcor-damasco-454x/,,3522,2026-06-22,,
Delimart,,Aceite de Girasol Natura x 5 lts,22749.63,22749.63,0,,Ninguno,https://www.delimart.com.ar/aceite_de_girasol_natura_x_5_lts,,3886,2026-06-22,,
Carrefour,,Cerveza blanca Golsch 473 ml,2699.25,3599,7608.88,1 L.,2do al 50% max 48 unidades combinable grolsch,https://www.carrefour.com.ar/cerveza-blanca-golsch-473-ml-645387/p,,3140,2026-06-22,,
Delimart,,Galletita Polvorita Chocolate/vainilla 152 grs,1321.98,1321.98,0,,Ninguno,https://www.delimart.com.ar/galletita_polvorita_chocolatevainilla_152_grs,,3793,2026-06-22,,
Delimart,,* Yogur Bebible Clasico De Frutilla La Serenisima x 900 Gr,1625.47,1912.32,0,,Ninguno,https://www.delimart.com.ar/_yogur_bebible_clasico_de_frutilla_la_serenisima_x_900_gr23456789101112131415161718,,3944,2026-06-22,,
Carrefour,,Papas fritas Pringles original 104 g,5619,5619,54028.85,1 K.,Ninguno,https://www.carrefour.com.ar/papas-fritas-pringles-original-104-g-730295/p,,3114,2026-06-22,,
Carrefour,,Galletitas surtidas Bagley en bolsa 400 g.,3529,3529,8822.50,1 K.,Ninguno,https://www.carrefour.com.ar/galletitas-surtidas-bagley-en-bolsa-400-g-745439/p,,2662,2026-06-22,,
Depot,,HARM PRESTO PRONTA 500X,1292.77,1292.77,0,,Ninguno,https://depotexpress.com.ar/productos/ofertas/harina-de-maiz-prestopronta-500gr/,,3455,2026-06-22,,
Delimart,,Galletitas Dulces Tostex Miel y Avena X270Gr,2665.44,2665.44,0,,Ninguno,https://www.delimart.com.ar/galletitas_dulces_tostex_miel_y_avena_x270gr,,3820,2026-06-22,,
Carrefour,,Galletitas Carrefour Classic vainilla 3 x 120 g.,2501.70,2690,6949.17,1 K.,Ninguno,https://www.carrefour.com.ar/galletitas-carrefour-classic-vainilla-3-x-120-g/p,,2796,2026-06-22,,
Depot,,JABE VERITAS GLIC FRESC TOT 3X120X,2666.49,2666.49,0,,Ninguno,https://depotexpress.com.ar/productos/tocador-y-cosmtica/jabe-veritas-glic-fresc-tot-3x120x/,,3692,2026-06-22,,
Carrefour,,Galleta de vainilla 9 de Oro con relleno de chocolate 160 g.,2599,2599,16243.75,1 K.,Ninguno,https://www.carrefour.com.ar/galleta-de-vainilla-9-de-oro-con-relleno-de-chocolate-160-g-635370/p,,2790,2026-06-22,,
Dia,Gaseosa Cola Black Pepsi 2 Lt.,Gaseosa Cola Black Pepsi 2 Lt.,4550.0,4550.0,,,2x1,https://diaonline.supermercadosdia.com.ar/gaseosa-cola-black-pepsi-2-lt-45480/p,2026-06-22 19:21:11,2349,,,
Carrefour,,Amarettis Carrefour Extra 150 grs,3266,3550,21773.33,1 K.,Ninguno,https://www.carrefour.com.ar/amarettis-carrefour-extra-150-grs-762259/p,,2769,2026-06-22,,
Dia,Yerba Mate Natura Suave 500 Gr.,Yerba Mate Natura Suave 500 Gr.,2005.0,2005.0,,,,https://diaonline.supermercadosdia.com.ar/yerba-mate-natura-suave-500-gr-272636/p,2026-06-22 19:21:25,2496,,,
Carrefour,,Harina de trigo 000 Chacabuco 1 kg.,1035,1035,1035,1 K.,Ninguno,https://www.carrefour.com.ar/harina-de-trigo-000-chacabuco-1-kg/p,,2836,2026-06-22,,
Carrefour,,Vinagre de alcohol Carrefour classic 500 cc.,1094.80,1190,2189.60,1 L.,Ninguno,https://www.carrefour.com.ar/vinagre-de-alcohol-carrefour-classic-500-cc/p,,2993,2026-06-22,,
Carrefour,,Edulcorante líquido con sacarina Hileret pet 250 cc.,2226.75,2969,11876,1 L.,2do al 50% max 8 unidades combinable hileret,https://www.carrefour.com.ar/edulcorante-liquido-con-sacarina-hileret-pet-250-cc-681727/p,,2968,2026-06-22,,
Dia,Suavizantes Para Ropa Vivere Explosion Floral Plancha Facil Doypack 810 Ml 307704,Suavizantes Para Ropa Vivere Explosion Floral Plancha Facil Doypack 810 Ml 307704,0.0,0.0,,,,https://diaonline.supermercadosdia.com.ar/suavizantes-para-ropa-vivere-explosion-floral-plancha-facil-doypack-810-ml-307704/p,2026-06-22 19:22:11,2626,,,
,,"Gaseosa cola Coca Cola sabor liviano 2,25 lts",,,,,,https://www.carrefour.com.ar/gaseosa-cola-coca-cola-sabor-liviano-225-lts-159570/p,,3070,,no_disponible,Carrefour
Delimart,,Huevos Campo - Roth 6 Unidades,1773.33,1773.33,0,,Ninguno,https://www.delimart.com.ar/huevos_campo_-_roth_6_unidades,,3963,2026-06-22,,
,,Yogur bebible Danonino sabor frutilla 900 grs,,,,,,https://www.carrefour.com.ar/yogur-bebible-danonino-sabor-frutilla-900-grs-747999/p,,2932,,no_disponible,Carrefour
Dia,Yerba Mate Seleccion Nobleza Gaucha 500 Gr.,Yerba Mate Seleccion Nobleza Gaucha 500 Gr.,2415.0,2415.0,,,,https://diaonline.supermercadosdia.com.ar/yerba-mate-seleccion-nobleza-gaucha-500-gr-304727/p,2026-06-22 19:22:56,2490,,,
Delimart,,Mermelada Damasco La Campagnola 454 Gr,5059.36,5059.36,0,,Ninguno,https://www.delimart.com.ar/mermelada_damasco_la_campagnola_454_gr,,4032,2026-06-22,,
,,,,,,,,https://www.delimart.com.ar/suavizante_de_ropa_comfort_botella__cuidado_intensivo_500_ml,,4372,,exception,"Message: 
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7f90f3fa5+14925]
	chromedriver!GetHandleVerifier [0x7ff7f90f4000+14980]
	chromedriver!(No symbol) [0x7ff7f8c3793d]
	chromedriver!(No symbol) [0x7ff7f8c91aad]
	chromedriver!(No symbol) [0x7ff7f8c91dac]
	chromedriver!(No symbol) [0x7ff7f8ce27d7]
	chromedriver!(No symbol) [0x7ff7f8cdf39b]
	chromedriver!(No symbol) [0x7ff7f8c8401c]
	chromedriver!(No symbol) [0x7ff7f8c84f43]
	chromedriver!GetHandleVerifier [0x7ff7f96d7591+5f7f11]
	chromedriver!GetHandleVerifier [0x7ff7f96d1902+5f2282]
	chromedriver!GetHandleVerifier [0x7ff7f96f7115+617a95]
	chromedriver!GetHandleVerifier [0x7ff7f9111dce+3274e]
	chromedriver!GetHandleVerifier [0x7ff7f911a82c+3b1ac]
	chromedriver!GetHandleVerifier [0x7ff7f90fd744+1e0c4]
	chromedriver!GetHandleVerifier [0x7ff7f90fd8d4+1e254]
	chromedriver!GetHandleVerifier [0x7ff7f90e1447+1dc7]
	KERNEL32!BaseThreadInitThunk [0x7ffd6194e957+17]
	ntdll!RtlUserThreadStart [0x7ffd62787c1c+2c]
"
Delimart,,Vino Trumpeter Malbec 750 Ml,9285.80,10924.47,0,,Ninguno,https://www.delimart.com.ar/vino_trumpeter_malbec_750_ml,,4133,2026-06-22,,
Delimart,,Costilla Ventana Don Juan - Envasado al vacío - El kilo a,24572.48,28908.80,0,,Ninguno,https://www.delimart.com.ar/costilla_ventana_don_juan_-_envasado_al_vacio_-_el_kilo_a,,4254,2026-06-22,,
Delimart,,Vodka Citric Smirnoff 700 Cc,13770.90,13770.90,0,,Ninguno,https://www.delimart.com.ar/vodka_citric_smirnoff_700_cc,,4154,2026-06-22,,
Delimart,,Galletitas Mana Rellena Sabor A Limon Arcor x 152 Gr,1747.23,1747.23,0,,Ninguno,https://www.delimart.com.ar/galletitas_mana_rellena_sabor_a_limon_arcor_x_152_gr,,3803,2026-06-22,,
Dia,Queso Crema Clásico Casancrem 500 Gr.,Queso Crema Clásico Casancrem 500 Gr.,8690.0,8690.0,,,,https://diaonline.supermercadosdia.com.ar/queso-crema-clasico-casancrem-500-gr-2797/p,2026-06-22 19:23:50,2257,,,
Carrefour,,Sal fina Celusal paquete 500 g.,1559,1559,3118,1 K.,Ninguno,https://www.carrefour.com.ar/sal-fina-celusal-paquete-500-g/p,,2973,2026-06-22,,
Delimart,,Cebolla el kg a,1680.01,1680.01,0,,Ninguno,https://www.delimart.com.ar/cebolla_el_kg_a,,4292,2026-06-22,,
Dia,Asado x Kg.,Asado x Kg.,19500.0,19500.0,,,,https://diaonline.supermercadosdia.com.ar/asado-x-kg-279637/p,2026-06-22 19:24:14,2511,,,
Dia,Fiambre de Cerdo 66 150 Gr.,Fiambre de Cerdo 66 150 Gr.,1990.0,2590.0,,,,https://diaonline.supermercadosdia.com.ar/fiambre-de-cerdo-66-150-gr-80908/p,2026-06-22 19:24:18,2540,,,
Depot,,VINF ELEMENTOS MALBEC 750X,4635.32,4635.32,0,,Ninguno,https://depotexpress.com.ar/productos/bebidas-c-alcohol/vinos-y-espumantes/vino-elementos-malbec-x-750c-c/,,3614,2026-06-22,,
Carrefour,,Manteca Classic calidad extra 200 g.,3017.10,3390,15085.50,1 K.,Ninguno,https://www.carrefour.com.ar/manteca-classic-calidad-extra-200-g/p,,2885,2026-06-22,,
Delimart,,Yerba Mate Rosamonte Plus Suave 1 Kg,4947.74,4947.74,0,,Ninguno,https://www.delimart.com.ar/yerba_mate_rosamonte_plus_suave_1_kg2,,4199,2026-06-22,,
Dia,Queso Cremoso Silvia x Kg.,Queso Cremoso Silvia x Kg.,15880.0,15880.0,,,,https://diaonline.supermercadosdia.com.ar/queso-cremoso-silvia-x-kg-226999/p,2026-06-22 19:25:02,2262,,,
Dia,Cebolla Comercial en bolsa malla x Kg.,Cebolla Comercial en bolsa malla x Kg.,1290.0,1690.0,,,,https://diaonline.supermercadosdia.com.ar/cebolla-comercial-en-bolsa-malla-x-kg-90063/p,2026-06-22 19:25:06,2559,,,
Delimart,,Pure De Tomate Noel 520 G,1047.63,1047.63,0,,Ninguno,https://www.delimart.com.ar/pure_de_tomate_noel_520_g,,4011,2026-06-22,,
Depot,,TOAF DONCELLA C/ALAS C/D 8X,637.97,637.97,0,,Ninguno,https://depotexpress.com.ar/productos/tocador-y-cosmtica/toaf-doncella-c-alas-c-d-8x/,,3725,2026-06-22,,
Delimart,,Aceite de Girasol Natura x 3 lts,13649.78,13649.78,0,,Ninguno,https://www.delimart.com.ar/aceite__de_girasol_natura_x_3_lts,,3887,2026-06-22,,
Delimart,,Vacio de Cerdo Trozer - Envasado al vacío - El kilo a,9482.79,11156.22,0,,Ninguno,https://www.delimart.com.ar/vacio_de_cerdo_trozer_-_envasado_al_vacio_-_el_kilo_a,,4256,2026-06-22,,
,,Leche entera larga vida Tregar 1 l.,,,,,,https://www.carrefour.com.ar/leche-entera-larga-vida-tregar-1-l/p,,2903,,no_disponible,Leche entera larga vida Tregar 1 l. - Carrefour
Depot,,CERV ANTARES SCOTH LATA 473X,2144.83,2144.83,0,,Ninguno,https://depotexpress.com.ar/productos/bebidas-c-alcohol/cerveza/cerv-antares-scoth-lata-473x/,,3568,2026-06-22,,
Delimart,,Te Clasico Taragui Internacional 25 Saquitos,2126.68,2126.68,0,,Ninguno,https://www.delimart.com.ar/te_clasico_taragui_internacional_25_saquitos,,4245,2026-06-22,,
Delimart,,Manteca Clasica La Serenisima x 200 Gr,3639.44,3639.44,0,,Ninguno,https://www.delimart.com.ar/manteca_clasica_la_serenisima_x_200_gr,,3889,2026-06-22,,
Dia,Papa Negra x Kg.,Papa Negra x Kg.,1690.0,1690.0,,,,https://diaonline.supermercadosdia.com.ar/papa-negra-x-kg-90094/p,2026-06-22 19:26:59,2557,,,
Dia,Vinagre de Alcohol Dia 1 Lt.,Vinagre de Alcohol Dia 1 Lt.,1565.0,1565.0,,,,https://diaonline.supermercadosdia.com.ar/vinagre-de-alcohol-dia-1-lt-53468/p,2026-06-22 19:27:03,2301,,,
Delimart,,Te Virgin Islands 25 Saquitos,1956.57,1956.57,0,,Ninguno,https://www.delimart.com.ar/te_virgin_islands_25_saquitos,,4244,2026-06-22,,
Carrefour,,Jabón líquido concentrado para diluir Ala con bicarbonato 500 ml,11129,11129,22258,1 L.,Ninguno,https://www.carrefour.com.ar/jabon-liquido-concentrado-para-diluir-ala-con-bicarbonato-500-ml-730415/p,,3379,2026-06-22,,
Delimart,,Vino Conejo Verde Malbec 750 Ml,6198.03,7291.80,0,,Ninguno,https://www.delimart.com.ar/vino_conejo_verde_malbec_750_ml,,4143,2026-06-22,,
Carrefour,,Leche entera larga vida Las tres niñas 1 l.,2619,2619,2619,1 L.,Ninguno,https://www.carrefour.com.ar/leche-entera-larga-vida-las-tres-ninas-1-l/p,,2906,2026-06-22,,
Depot,,CERVEZA IMPERIAL ROJA LAT 473X,1793.17,1793.17,0,,Ninguno,https://depotexpress.com.ar/productos/bebidas-c-alcohol/cerv-imperial-roja-lat-473x/,,3585,2026-06-22,,
Dia,Cerveza Ultra Michelob 473 Ml.,Cerveza Ultra Michelob 473 Ml.,2840.0,2840.0,,,2x1,https://diaonline.supermercadosdia.com.ar/cerveza-ultra-michelob-473-ml-301121/p,2026-06-22 19:28:10,2397,,,
,,Jugo de pomelo exprimido Puro Sol tetra 1 lt.,,,,,,https://www.carrefour.com.ar/jugo-de-pomelo-exprimido-puro-sol-tetra-1-lt/p,,3101,,no_disponible,Carrefour
Dia,Yerba Mate Dia con Palo 500 Gr.,Yerba Mate Dia con Palo 500 Gr.,1676.0,1676.0,,,,https://diaonline.supermercadosdia.com.ar/yerba-mate-dia-con-palo-500-gr-274841/p,2026-06-22 19:28:27,2486,,,
Dia,Puré de Tomate La Campagnola 520 Gr.,Puré de Tomate La Campagnola 520 Gr.,1457.0,1457.0,,,,https://diaonline.supermercadosdia.com.ar/pure-de-tomate-la-campagnola-520-gr-14900/p,2026-06-22 19:28:31,2314,,,
Carrefour,,Caldo de carne Knorr en cubos 12 uni,2849,2849,29677.08,1 K.,Ninguno,https://www.carrefour.com.ar/caldo-de-carne-knorr-en-cubos-12-uni-737143/p,,3006,2026-06-22,,
Delimart,,Harina Leudante Pureza Ultra Ref. 1 Kg,1773.24,1773.24,0,,Ninguno,https://www.delimart.com.ar/harina_leudante_pureza_ultra_ref_1_kg,,3855,2026-06-22,,
Dia,Pollo Entero x Kg.,Pollo Entero x Kg.,4390.0,4390.0,,,,https://diaonline.supermercadosdia.com.ar/pollo-entero-x-kg-90164/p,2026-06-22 19:19:52,2528,,,
Carrefour,,Whisky Cutty Sark en botella 700 ml,37125,49500,53035.71,1 L.,35% off tarjeta crf crdito | 35% off cuenta digital | 25% off max 8 unidades,https://www.carrefour.com.ar/whisky-cutty-sark-en-botella-700-ml-761687/p,,3204,2026-06-22,,
Dia,Arroz Largo Fino Máximo 500 Gr.,Arroz Largo Fino Máximo 500 Gr.,905.0,905.0,,,,https://diaonline.supermercadosdia.com.ar/arroz-largo-fino-maximo-500-gr-272633/p,2026-06-22 19:20:20,2231,,,
Dia,Harina De Trigo 000 Chacabuco 1 Kg.,Harina De Trigo 000 Chacabuco 1 Kg.,1039.0,1039.0,,,,https://diaonline.supermercadosdia.com.ar/harina-de-trigo-000-chacabuco-1-kg-308189/p,2026-06-22 19:20:27,2219,,,
Carrefour,,Mermelada Carrefour de damasco 454 g.,2873.70,3090,6329.74,1 K.,Ninguno,https://www.carrefour.com.ar/mermelada-carrefour-de-damasco-454-g-706933/p,,3056,2026-06-22,,
Carrefour,,Yerba mate suave Unión 4flex 1 kg.,3753.75,5005,5005,1 K.,2do al 50% max 8 unidades combinable union,https://www.carrefour.com.ar/yerba-mate-suave-union-4flex-1-kg/p,,3226,2026-06-22,,
Carrefour,,Aceite de girasol alto omega Carrefour Classic pet 1.5 lts,5066.60,5390,3377.73,1 L.,Ninguno,https://www.carrefour.com.ar/aceite-de-girasol-alto-omega-carrefour-classic-pet-1-5-lts-680457/p,,2879,2026-06-22,,
,,,,,,,,https://depotexpress.com.ar/productos/bebidas-c-alcohol/blancas-y-licores/vodk-smirnoff-raspberry-700x/,,3637,,exception,"Message: timeout: Timed out receiving message from renderer: 6.635
  (Session info: chrome=149.0.7827.155)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7f90f3fa5+14925]
	chromedriver!GetHandleVerifier [0x7ff7f90f4000+14980]
	chromedriver!(No symbol) [0x7ff7f8c3793d]
	chromedriver!(No symbol) [0x7ff7f8c24449]
	chromedriver!(No symbol) [0x7ff7f8c24131]
	chromedriver!(No symbol) [0x7ff7f8c21e01]
	chromedriver!(No symbol) [0x7ff7f8c2273f]
	chromedriver!(No symbol) [0x7ff7f8c31e1a]
	chromedriver!(No symbol) [0x7ff7f8c48a77]
	chromedriver!(No symbol) [0x7ff7f8c5093a]
	chromedriver!(No symbol) [0x7ff7f8c22f01]
	chromedriver!(No symbol) [0x7ff7f8c487a5]
	chromedriver!(No symbol) [0x7ff7f8cdf71a]
	chromedriver!(No symbol) [0x7ff7f8c8401c]
	chromedriver!(No symbol) [0x7ff7f8c84f43]
	chromedriver!GetHandleVerifier [0x7ff7f96d7591+5f7f11]
	chromedriver!GetHandleVerifier [0x7ff7f96d1902+5f2282]
	chromedriver!GetHandleVerifier [0x7ff7f96f7115+617a95]
	chromedriver!GetHandleVerifier [0x7ff7f9111dce+3274e]
	chromedriver!GetHandleVerifier [0x7ff7f911a82c+3b1ac]
	chromedriver!GetHandleVerifier [0x7ff7f90fd744+1e0c4]
	chromedriver!GetHandleVerifier [0x7ff7f90fd8d4+1e254]
	chromedriver!GetHandleVerifier [0x7ff7f90e1447+1dc7]
	KERNEL32!BaseThreadInitThunk [0x7ffd6194e957+17]
	ntdll!RtlUserThreadStart [0x7ffd62787c1c+2c]
"
Carrefour,,Cacao en polvo Chocolino bolsa 180 g.,2289,2289,12716.67,1 K.,Ninguno,https://www.carrefour.com.ar/cacao-en-polvo-chocolino-bolsa-180-g/p,,3219,2026-06-22,,
Dia,Tampones Ob Siempre Libre Medio X 8 Ud.,Tampones Ob Siempre Libre Medio X 8 Ud.,4130.0,4130.0,,,,https://diaonline.supermercadosdia.com.ar/tampones-ob-siempre-libre-medio-x-8-ud-279059/p,2026-06-22 19:21:30,2607,,,
Depot,,LEGU LA EGIP.LENTEJON 400X,1802.61,1802.61,0,,Ninguno,https://depotexpress.com.ar/productos/comestibles/legu-la-egip-lentejon-400x/,,3518,2026-06-22,,
Carrefour,,Vino tinto Malbec Cordero con piel de Lobo 750 ml,6600,6600,8800,1 L.,Ninguno,https://www.carrefour.com.ar/vino-tinto-cordero-con-piel-de-lobo-malbec-750-cc-730738/p,,3159,2026-06-22,,
Dia,Vinagre de Alcohol Menoyo 500 Ml.,Vinagre de Alcohol Menoyo 500 Ml.,1400.0,1400.0,,,,https://diaonline.supermercadosdia.com.ar/vinagre-de-alcohol-menoyo-500-ml-178256/p,2026-06-22 19:22:10,2303,,,
Carrefour,,Galletitas dulces Les Tablettes con chocolate y corazón con leche Carrefour Extra 140 grs,4352.10,4890,31086.43,1 K.,Ninguno,https://www.carrefour.com.ar/galletitas-dulces-les-tablettes-con-chocolate-y-corazon-con-leche-carrefour-extra-140-grs-759598/p,,2680,2026-06-22,,
Dia,Pasta Dental Colgate Ultra Blanco 90 Gr.,Pasta Dental Colgate Ultra Blanco 90 Gr.,2170.0,3100.0,,,,https://diaonline.supermercadosdia.com.ar/pasta-dental-colgate-ultra-blanco-90-gr-115652/p,2026-06-22 19:22:22,2594,,,
Delimart,,Carne Molida Especial Congelada Zibelman 500 G,11276.11,11276.11,0,,Ninguno,https://www.delimart.com.ar/carne_molida_especial_congelada_zibelman_500_g,,4262,2026-06-22,,
Dia,Tampón Nosotras Digital Regular X 8 Ud.,Tampón Nosotras Digital Regular X 8 Ud.,2317.5,3090.0,,,,https://diaonline.supermercadosdia.com.ar/tampon-nosotras-digital-regular-x-8-ud-308301/p,2026-06-22 19:22:33,2606,,,
Carrefour,,Galletitas dulces Milka Mousse Chocolate 124 grs,2499,2499,20153.23,1 K.,Ninguno,https://www.carrefour.com.ar/galletitas-dulces-milka-mousse-chocolate-124-grs-759453/p,,2688,2026-06-22,,
Carrefour,,Tampones Kotex medio 20 uni,9279,9279,463.95,1 U.,Ninguno,https://www.carrefour.com.ar/tampones-kotex-medio-20-uni-694964/p,,3356,2026-06-22,,
Carrefour,,Cacao en polvo Chocolino bolsa 360 g.,4549,4549,12636.11,1 K.,Ninguno,https://www.carrefour.com.ar/cacao-en-polvo-chocolino-bolsa-360-g/p,,3218,2026-06-22,,
Delimart,,Yogur Bebible Entero De Frutilla Gran Compra 900 G,1798.81,1798.81,0,,Ninguno,https://www.delimart.com.ar/yogur_bebible_entero_de_frutilla_gran_compra_900_g,,3940,2026-06-22,,
Carrefour,,Milanesa de nalga Novillito x kg.,24700,24700,24700,1 K.,Ninguno,https://www.carrefour.com.ar/milanesa-de-nalga-novillito-x-kg-662863/p,,3246,2026-06-22,,
Depot,,PALITO SALADO CRONWELL 120X,802.96,802.96,0,,Ninguno,https://depotexpress.com.ar/productos/comestibles/cop-cronwell-palito-salado-120x/,,3553,2026-06-22,,
,,Galletitas Formis vainilla rellenas frutilla 102 g.,,,,,,https://www.carrefour.com.ar/galletitas-formis-vainilla-rellenas-frutilla-102-g-712649/p,,2708,,no_disponible,Carrefour
Delimart,,Mayonesa Natura 125 cm,862.67,862.67,0,,Ninguno,https://www.delimart.com.ar/mayonesa_natura_125_cm,,3983,2026-06-22,,
Carrefour,,Jabón Líquido para Diluir Skip Bio-Enzimas 500 ml,8631.35,13279,17262.70,1 L.,35% off max 8 unidades,https://www.carrefour.com.ar/jabon-liquido-para-diluir-skip-bio-enzimas-500-ml-695713/p,,3378,2026-06-22,,
Carrefour,,Detergente Cif Bioactive Lima Botella 300 ml,2450,2450,8166.67,1 L.,Ninguno,https://www.carrefour.com.ar/detergente-cif-bioactive-lima-botella-300-ml-717849/p,,3366,2026-06-22,,
Depot,,DETL ALA DESGR CREM FLOR BLCA 750X,1492.03,1492.03,0,,Ninguno,https://depotexpress.com.ar/productos/limpieza/detl-ala-desgr-crem-flor-blca-750x/,,3732,2026-06-22,,
Dia,Mermelada BC Durazno 390 Gr.,Mermelada BC Durazno 390 Gr.,3850.0,3850.0,,,,https://diaonline.supermercadosdia.com.ar/mermelada-bc-durazno-390-gr-279724/p,2026-06-22 19:25:02,2321,,,
Carrefour,,Galletitas naranjitas Tía Maruca 250 g.,2199,2199,8796,1 K.,Ninguno,https://www.carrefour.com.ar/galletitas-naranjitas-tia-maruca-250-g/p,,2664,2026-06-22,,
Carrefour,,Mermelada light de ciruela Carrefour Classic 390 grs,2873.70,3090,7368.46,1 K.,Ninguno,https://www.carrefour.com.ar/mermelada-light-de-ciruela-carrefour-classic-390-grs-629268/p,,3043,2026-06-22,,
Delimart,,Galletitas Serranas Sandwich 112 g,830.33,830.33,0,,Ninguno,https://www.delimart.com.ar/galletitas_serranas_sandwich_112_g,,3840,2026-06-22,,
Delimart,,Leche En Polvo Entero Milkaut 800 Gr,11018.68,11018.68,0,,Ninguno,https://www.delimart.com.ar/leche_en_polvo_entero_milkaut_800_gr,,3906,2026-06-22,,
Delimart,,Caldo Knorr De Gallina 12 Cubos 114 Gr,2347.25,2347.25,0,,Ninguno,https://www.delimart.com.ar/caldo_knorr_de_gallina_12_cubos_114_gr2,,4001,2026-06-22,,
Depot,,ARR GALLO L.FINO 1X,2825.83,2825.83,0,,Ninguno,https://depotexpress.com.ar/productos/comestibles/arr-gallo-l-fino-1x/,,3458,2026-06-22,,
