supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,fecha,error_type,titulo
Carrefour,,Gin Tanqueray 700 cc,29100,38800,41571.43,1 L.,35% off tarjeta crf crdito | 35% off cuenta digital | 25% off max 8 unidades,https://www.carrefour.com.ar/gin-tanqueray-700-cc/p,,3184,2026-06-22,,
Carrefour,,Galleta de limón bañada en chocolate Carrefour Extra 32 grs,719.10,799,22471.88,1 K.,Ninguno,https://www.carrefour.com.ar/galleta-de-limon-banada-en-chocolate-carrefour-extra-32-grs-758860/p,,2738,2026-06-22,,
Delimart,,Cafe La Virginia Suave Frasco x50 Gr,3184.33,3184.33,0,,Ninguno,https://www.delimart.com.ar/cafe_la_virginia_suave_frasco_x50_gr,,4182,2026-06-22,,
Carrefour,,Whisky Ballantines importado 7 años bour fin 700 cc.,42150,56200,60214.29,1 L.,35% off tarjeta crf crdito | 35% off cuenta digital | 25% off max 8 unidades,https://www.carrefour.com.ar/whisky-ballantines-importado-7-anos-bour-fin-700-cc-695520/p,,3202,2026-06-22,,
Carrefour,,Cerveza rubia Warsteiner 473 ml,2399.25,3199,6763.21,1 L.,2do al 50% max 48 unidades combinable warsteiner,https://www.carrefour.com.ar/cerveza-rubia-warsteiner-473-ml-645392/p,,3146,2026-06-22,,
Depot,,ALGP WHISKAS POUCH POLL 85X,1031.01,1031.01,0,,Ninguno,https://depotexpress.com.ar/productos/alimentos-para-mascotas/algp-whiskas-pouch-poll-85x/,,3766,2026-06-22,,
Dia,Azucar Ledesma Refinado Superior 1 Kg.,Azucar Ledesma Refinado Superior 1 Kg.,1565.0,1565.0,,,,https://diaonline.supermercadosdia.com.ar/azucar-ledesma-refinado-superior-1-kg-129208/p,2026-06-22 19:04:24,2286,,,
Dia,Pollo Congelado x Kg.,Pollo Congelado x Kg.,3890.0,3890.0,,,,https://diaonline.supermercadosdia.com.ar/pollo-congelado-x-kg-718817/p,2026-06-22 19:04:27,2527,,,
Carrefour,,Whisky Johnnie Walker importado black label 1 l,71039.25,94719,71039.25,1 L.,35% off tarjeta crf crdito | 35% off cuenta digital | 25% off max 8 unidades,https://www.carrefour.com.ar/whisky-johnnie-walker-importado-black-label-1-l/p,,3193,2026-06-22,,
Delimart,,Choclo En Grano Doña Pupa 340 Gr,2023.99,2023.99,0,,Ninguno,https://www.delimart.com.ar/choclo_en_grano_dona_pupa_340_gr,,4293,2026-06-22,,
Carrefour,,Mermelada Carrefour Classic durazno 454 g.,2873.70,3090,6329.74,1 K.,Ninguno,https://www.carrefour.com.ar/mermelada-carrefour-classic-durazno-454-g/p,,3034,2026-06-22,,
Dia,Tubitos De Harina De Maíz Sabor Queso 3D Mega Queso X 143 Gr.,Tubitos De Harina De Maíz Sabor Queso 3D Mega Queso X 143 Gr.,3780.0,5400.0,,,,https://diaonline.supermercadosdia.com.ar/tubitos-de-harina-de-maiz-sabor-queso-3d-mega-queso-x-143-gr-273071/p,2026-06-22 19:04:55,2385,,,
Depot,,LIML CIF PISOS BIOACT OXYGEL 750X,2952.11,2952.11,0,,Ninguno,https://depotexpress.com.ar/productos/limpieza/liml-cif-pisos-bioact-oxygel-750x/,,3748,2026-06-22,,
Delimart,,Shampoo Dove Reconstrucción Completa 200 Ml,5186.36,5186.36,0,,Ninguno,https://www.delimart.com.ar/shampoo_dove_reconstruccion_completa_200_ml,,4319,2026-06-22,,
Carrefour,,Papel higiénico doble hoja Elegante 4 x 30 m.,2587.50,3450,287.50,1 M2.,2do al 50% max 8 unidades combinable elegante,https://www.carrefour.com.ar/papel-higienico-doble-hoja-elegante-4-x-30-m-628282/p,,3344,2026-06-22,,
Dia,Queso Untable Tregar Clásico 300 Gr.,Queso Untable Tregar Clásico 300 Gr.,2593.5,3990.0,,,,https://diaonline.supermercadosdia.com.ar/queso-untable-tregar-clasico-300-gr-266108/p,2026-06-22 19:05:43,2254,,,
Carrefour,,Leche en polvo entera Carrefour classic pouch 400 g.,4972,5650,12430,1 K.,Ninguno,https://www.carrefour.com.ar/leche-en-polvo-entera-carrefour-classic-pouch-400-g-735950/p,,2893,2026-06-22,,
,,Galletitas Formis vainilla rellenas frutilla 72 g.,,,,,,https://www.carrefour.com.ar/galletitas-formis-vainilla-rellenas-frutilla-72-g-712646/p,,2684,,no_disponible,Carrefour
Dia,Banana x Kg.,Banana x Kg.,2890.0,2890.0,,,,https://diaonline.supermercadosdia.com.ar/banana-x-kg-90110/p,2026-06-22 19:06:10,2554,,,
Dia,Detergente Magistral Ultra Limon Botella 300 Ml.,Detergente Magistral Ultra Limon Botella 300 Ml.,2190.0,2970.0,,,,https://diaonline.supermercadosdia.com.ar/detergente-magistral-ultra-limon-botella-300-ml-8171/p,2026-06-22 19:06:14,2614,,,
Depot,,AGUS AQUARIUS NJA 2.25X,2200.00,2200.00,0,,Ninguno,https://depotexpress.com.ar/productos/bebidas-s-alcohol/aguas/agus-aquarius-nja-2-25x/,,3542,2026-06-22,,
Carrefour,,Shampoo Pantene equilibrio 400 cc.,10229,10229,25572.50,1 L.,Ninguno,https://www.carrefour.com.ar/shampoo-pantene-equilibrio-400-cc-723895/p,,3313,2026-06-22,,
