error_type,url,nombre,titulo,id_link_producto,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,producto_nombre,fecha_extraccion
no_disponible,https://www.carrefour.com.ar/gaseosa-carrefour-light-naranja-225-l/p,Gaseosa Carrefour light naranja 2.25 l.,Carrefour,3089,,,,,,,,,
404,https://www.carrefour.com.ar/soda-carrefour-classic-600-ml-740284/p,,Carrefour - Las mejores ofertas en supermercados,3105,,,,,,,,,
,https://www.delimart.com.ar/jabon_palmolive_frescura_purificante_3x_90_gr,Jabon Palmolive Frescura Purificante 3x 90 Gr,,4303,4173.18,4173.18,0,,Ninguno,2026-06-13,Delimart,,
no_disponible,https://www.carrefour.com.ar/carne-picada-swift-congelada-500-g-703600/p,Carne picada Swift congelada 500 g.,Carrefour,3243,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/soda-carrefour-classic-225-lts-735713/p,"Soda Carrefour Classic 2,25 lts",Carrefour,3104,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/cerveza-rubia-quilmes-1890-473-ml-746759/p,Cerveza rubia Quilmes 1890 473 ml,Carrefour,3156,,,,,,,,,
,https://www.delimart.com.ar/leche_en_polvo_entera_purisima_800_gr,Leche En Polvo Entera Purisima 800 Gr,,3905,8166.14,8166.14,0,,Ninguno,2026-06-13,Delimart,,
,https://www.delimart.com.ar/cebolla_el_kg_a,Cebolla el kg a,,4292,1680.01,1680.01,0,,Ninguno,2026-06-13,Delimart,,
,https://diaonline.supermercadosdia.com.ar/arvejas-secas-remojadas-sin-sal-dia-300-gr-280242/p,Arvejas Secas Remojadas Sin Sal Dia 300 Gr.,,2317,746.0,746.0,,,,,Dia,Arvejas Secas Remojadas Sin Sal Dia 300 Gr.,2026-06-13 18:29:28
,https://www.delimart.com.ar/jabon_rexona_antibacterial_con_aloe_90_gr,Jabon Rexona Antibacterial Con Aloe 90 Gr,,4309,1727.18,1727.18,0,,Ninguno,2026-06-13,Delimart,,
,https://www.delimart.com.ar/rollos_de_cocina_vual_grofado_120_panos,Rollos de cocina Vual grofado 120 paños,,4389,2085.90,1773.02,0,,Ninguno,2026-06-13,Delimart,,
,https://www.delimart.com.ar/jabon_liquido_baja_espuma_ala_eco_lavado_dp_800_ml,Jabón Líquido Baja Espuma Ala Eco Lavado D/P 800 Ml,,4367,3996.21,3996.21,0,,Ninguno,2026-06-13,Delimart,,
no_disponible,https://www.carrefour.com.ar/leche-entera-lechelita-uat-tetra-1-l-689731-689731/p,Leche entera Lechelita uat tetra 1 l.,Carrefour,2902,,,,,,,,,
