supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,error_type,fecha,titulo
Delimart,,Acondicionador Tresemme Cauterizacion Reparadora 250 ml,7672.67,7672.67,0,,Ninguno,https://www.delimart.com.ar/acondicionador_tresemme_cauterizacion_reparadora_250_ml,,4325,,2026-06-10,
Delimart,,Acondicionador Dove Reconstruccion Completa x 200 Ml,5277.33,5277.33,0,,Ninguno,https://www.delimart.com.ar/acondicionador_dove_reconstruccion_completa_x_200_ml,,4326,,2026-06-10,
Delimart,,Acondicionador Plusbelle 1lt Hidratacion Nutritiva,5734.80,5734.80,0,,Ninguno,https://www.delimart.com.ar/acondicionador_plusbelle_1lt_hidratacion_nutritiva,,4327,,2026-06-10,
Delimart,,Desodorante Dove Roll On Original 50 Ml,3504.65,3504.65,0,,Ninguno,https://www.delimart.com.ar/desodorante_dove_roll_on_original_50_ml,,4328,,2026-06-10,
Delimart,,Desodorante Dove Roll On Insible Dry 50 Ml,4438.96,4438.96,0,,Ninguno,https://www.delimart.com.ar/desodorante_dove_roll_on_insible_dry_50_ml,,4329,,2026-06-10,
Delimart,,Desodorante Axe Aerosol Marine 150 Ml,4535.04,4535.04,0,,Ninguno,https://www.delimart.com.ar/desodorante_axe_aerosol_marine_150_ml,,4330,,2026-06-10,
Delimart,,Desodorante Rexona Aerosol Odorono 150 Ml,3927.92,3927.92,0,,Ninguno,https://www.delimart.com.ar/desodorante_rexona_aerosol_odorono_150_ml,,4331,,2026-06-10,
Delimart,,Desodorante Antit Rexona Antibacterial 89 G,4584.42,4584.42,0,,Ninguno,https://www.delimart.com.ar/desodorante_antit_rexona_antibacterial_89_g,,4332,,2026-06-10,
Delimart,,Desodorante Go Fresh Aroma Pepino Y te Verde Dove 87 Gr,6104.27,6104.27,0,,Ninguno,https://www.delimart.com.ar/desodorante_go_fresh_aroma_pepino_y_te_verde_dove_87_gr,,4333,,2026-06-10,
Delimart,,Crema Dental Kolynos Super Blanco x 90 Gr,3028.09,3028.09,0,,Ninguno,https://www.delimart.com.ar/crema_dental_kolynos_super_blanco_x_90_gr,,4334,,2026-06-10,
Delimart,,Crema Dental Kolynos Triple Extra Fresh X70 Gr,1740.90,1740.90,0,,Ninguno,https://www.delimart.com.ar/crema_dental_kolynos_triple_extra_fresh_x70_gr,,4335,,2026-06-10,
Delimart,,Crema Dental Odol Doble Accion 180 Gr,5789.34,5789.34,0,,Ninguno,https://www.delimart.com.ar/crema_dental_odol_doble_accion_180_gr,,4336,,2026-06-10,
Delimart,,Crema Dental Odol Doble Accion 70 Gr,2138.46,2138.46,0,,Ninguno,https://www.delimart.com.ar/crema_dental_odol_doble_accion_70_gr,,4337,,2026-06-10,
Delimart,,Crema Dental Colgate Luminous White Brilliant 90 Gr,7321.86,7321.86,0,,Ninguno,https://www.delimart.com.ar/crema_dental_colgate_luminous_white_brilliant_90_gr,,4339,,2026-06-10,
Delimart,,Pasta dental Colgate Triple Accion 180 Gr,6454.85,6454.85,0,,Ninguno,https://www.delimart.com.ar/pasta_dental_colgate_triple_accion_180_gr,,4338,,2026-06-10,
Delimart,,Crema Dental Colgate Herbal x 90 Gr,4382.20,4382.20,0,,Ninguno,https://www.delimart.com.ar/crema_dental_colgate_herbal_x_90_gr,,4340,,2026-06-10,
