nombre,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,url,id_link_producto,error_type,titulo,producto_nombre,fecha_extraccion
Agua Saborizada Aquarius Pera 2.25 Lt.,3600.0,3600.0,,,2do al 50%,,Dia,https://diaonline.supermercadosdia.com.ar/agua-saborizada-aquarius-pera-225-lt-138564/p,2365,,,Agua Saborizada Aquarius Pera 2.25 Lt.,2026-06-13 13:08:10
Agua Saborizada Aquarius Pomelo 2.25 Lt.,3600.0,3600.0,,,2do al 50%,,Dia,https://diaonline.supermercadosdia.com.ar/agua-saborizada-aquarius-pomelo-225-lt-137082/p,2366,,,Agua Saborizada Aquarius Pomelo 2.25 Lt.,2026-06-13 13:08:21
"Agua Saborizada Aquarius Manzana 1,5 Lt.",2900.0,2900.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/agua-saborizada-aquarius-manzana-1-5-lt-114815/p,2367,,,"Agua Saborizada Aquarius Manzana 1,5 Lt.",2026-06-13 13:08:26
"Agua Saborizada Aquarius Pomelo Rosado 2,25 Lt.",3600.0,3600.0,,,2do al 50%,,Dia,https://diaonline.supermercadosdia.com.ar/agua-saborizada-aquarius-pomelo-rosado-2-25-lt-213899/p,2368,,,"Agua Saborizada Aquarius Pomelo Rosado 2,25 Lt.",2026-06-13 13:08:30
Agua Saborizada Aquarius Pera 1.5 Lt.,2900.0,2900.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/agua-saborizada-aquarius-pera-15-lt-104714/p,2369,,,Agua Saborizada Aquarius Pera 1.5 Lt.,2026-06-13 13:08:36
"Agua Sin Gas Sabor Uva Aquarius 1,5 Lt.",2900.0,2900.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/agua-sin-gas-sabor-uva-aquarius-15-lt-119293/p,2370,,,"Agua Sin Gas Sabor Uva Aquarius 1,5 Lt.",2026-06-13 13:08:41
"Agua Sin Gas Saborizada Pomelo Dia 1,5 Lt.",1491.0,1491.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/agua-sin-gas-saborizada-pomelo-dia-15-lt-3945/p,2371,,,"Agua Sin Gas Saborizada Pomelo Dia 1,5 Lt.",2026-06-13 13:08:47
"Agua Saborizada Sin Gas Sabor Naranja Dia 1,5 Lt.",1491.0,1491.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/agua-saborizada-sin-gas-sabor-naranja-dia-15-lt-111876/p,2372,,,"Agua Saborizada Sin Gas Sabor Naranja Dia 1,5 Lt.",2026-06-13 13:09:02
"Jugo Cepita Del Valle Naranja Tentación 1,5 Lt.",2950.0,2950.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/jugo-cepita-del-valle-naranja-tentacion-15-lt-132339/p,2373,,,"Jugo Cepita Del Valle Naranja Tentación 1,5 Lt.",2026-06-13 13:09:07
"Soda Dia en Botella 2,25 Lt.",1500.0,1400.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/soda-dia-en-botella-225-lt-78303/p,2374,,,"Soda Dia en Botella 2,25 Lt.",2026-06-13 13:09:13
Sifon De Soda Sin Tacc Dia 2 Lt.,1685.0,1550.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/sifon-de-soda-sin-tacc-dia-2-lt-295150/p,2375,,,Sifon De Soda Sin Tacc Dia 2 Lt.,2026-06-13 13:09:23
"Sifon Soda Rio Claro 1,75 Lt.",1475.0,1395.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/sifon-soda-rio-claro-175-lt-289580/p,2376,,,"Sifon Soda Rio Claro 1,75 Lt.",2026-06-13 13:09:27
Snacks Kesitas Rex 125 Gr.,2260.0,2260.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/snacks-kesitas-rex-125-gr-218421/p,2377,,,Snacks Kesitas Rex 125 Gr.,2026-06-13 13:09:32
Snack Pep Rueditas Pizza 120 Gr.,3500.0,3500.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/snack-pep-rueditas-pizza-120-gr-273113/p,2378,,,Snack Pep Rueditas Pizza 120 Gr.,2026-06-13 13:09:39
Snack Sabor Queso Crema Cheetos 85 Gr.,3869.0,2900.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/snack-sabor-queso-crema-cheetos-85-gr-24822/p,2379,,,Snack Sabor Queso Crema Cheetos 85 Gr.,2026-06-13 13:09:51
Snack Saladix Pizza 100 Gr.,1722.0,1722.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/snack-saladix-pizza-100-gr-78686/p,2380,,,Snack Saladix Pizza 100 Gr.,2026-06-13 13:10:05
Snack Intense Queso Takis 85 Gr.,3300.0,3300.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/snack-intense-queso-takis-85-gr-309785/p,2381,,,Snack Intense Queso Takis 85 Gr.,2026-06-13 13:10:16
Papas Fritas Acanaladas Pehuamar X 135 Gr.,3920.0,3920.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/papas-fritas-acanaladas-pehuamar-x-135-gr-253117/p,2383,,,Papas Fritas Acanaladas Pehuamar X 135 Gr.,2026-06-13 13:10:21
Nachos Sabor A Queso Doritos X 129 Gr.,5400.0,3780.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/nachos-sabor-a-queso-doritos-x-129-gr-107734/p,2384,,,Nachos Sabor A Queso Doritos X 129 Gr.,2026-06-13 13:10:25
Tubitos De Harina De Maíz Sabor Queso 3D Mega Queso X 143 Gr.,5400.0,3780.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/tubitos-de-harina-de-maiz-sabor-queso-3d-mega-queso-x-143-gr-273071/p,2385,,,Tubitos De Harina De Maíz Sabor Queso 3D Mega Queso X 143 Gr.,2026-06-13 13:10:31
Papas Fritas Jamon Serrano Dia 65 Gr.,2350.0,2350.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/papas-fritas-jamon-serrano-dia-65-gr-295065/p,2386,,,Papas Fritas Jamon Serrano Dia 65 Gr.,2026-06-13 13:10:42
Papas Fritas Corte Americano Krachitos 165 Gr.,4155.0,4155.0,,,2do al 50%,,Dia,https://diaonline.supermercadosdia.com.ar/papas-fritas-corte-americano-krachitos-165-gr-27227/p,2387,,,Papas Fritas Corte Americano Krachitos 165 Gr.,2026-06-13 13:10:52
Papas Fritas Sabor Original Pringles 104 Gr.,5650.0,5339.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/papas-fritas-sabor-original-pringles-104-gr-26384/p,2388,,,Papas Fritas Sabor Original Pringles 104 Gr.,2026-06-13 13:11:01
Maní Pelado Pehuamar X 135 Gr.,2804.0,2804.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/mani-pelado-pehuamar-x-135-gr-300811/p,2390,,,Maní Pelado Pehuamar X 135 Gr.,2026-06-13 13:11:07
Maní Japonés Original Dia 65 Gr.,1950.0,1950.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/mani-japones-original-dia-65-gr-296588/p,2391,,,Maní Japonés Original Dia 65 Gr.,2026-06-13 13:11:24
Cerveza Lata Miller 473 Ml.,3485.0,3485.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-lata-miller-473-ml-112542/p,2392,,,Cerveza Lata Miller 473 Ml.,2026-06-13 13:11:34
Cerveza Brahma Lata 473 ml.,2610.0,1390.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-brahma-lata-473-ml-76286/p,2393,,,Cerveza Brahma Lata 473 ml.,2026-06-13 13:11:40
Cerveza Lager Oslava 473 Lt.,1450.0,1320.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-lager-oslava-473-lt-288437/p,2394,,,Cerveza Lager Oslava 473 Lt.,2026-06-13 13:11:51
Cerveza Dorada Lata Dia 473 Ml.,2355.0,1890.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-dorada-lata-dia-473-ml-293902/p,2395,,,Cerveza Dorada Lata Dia 473 Ml.,2026-06-13 13:11:56
Cerveza Andes Rubia en lata 473 Ml.,3050.0,2287.5,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-andes-rubia-en-lata-473-ml-257349/p,2396,,,Cerveza Andes Rubia en lata 473 Ml.,2026-06-13 13:12:00
Cerveza Ultra Michelob 473 Ml.,2840.0,2840.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-ultra-michelob-473-ml-301121/p,2397,,,Cerveza Ultra Michelob 473 Ml.,2026-06-13 13:12:14
Cerveza Schneider Rubia 473 Ml.,2615.0,2615.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-schneider-rubia-473-ml-109094/p,2398,,,Cerveza Schneider Rubia 473 Ml.,2026-06-13 13:12:19
Cerveza Bajo Cero Quilmes 473 Ml.,1540.0,1540.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-bajo-cero-quilmes-473-ml-309505/p,2399,,,Cerveza Bajo Cero Quilmes 473 Ml.,2026-06-13 13:12:35
Cerveza Roja Andes en lata 473 Ml.,3190.0,2392.5,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-roja-andes-en-lata-473-ml-265812/p,2400,,,Cerveza Roja Andes en lata 473 Ml.,2026-06-13 13:12:45
Cerveza Quilmes Cristal en Lata 473 ml.,2480.0,1800.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-quilmes-cristal-en-lata-473-ml-39818/p,2401,,,Cerveza Quilmes Cristal en Lata 473 ml.,2026-06-13 13:12:51
,,,,,,,,,2402,"EXCEPTION: Message: timeout: Timed out receiving message from renderer: 37.728
  (Session info: chrome=149.0.7827.103)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7ce92fd95+15395]
	chromedriver!GetHandleVerifier [0x7ff7ce92fdf0+153f0]
	chromedriver!(No symbol) [0x7ff7ce4678fd]
	chromedriver!(No symbol) [0x7ff7ce454439]
	chromedriver!(No symbol) [0x7ff7ce454121]
	chromedriver!(No symbol) [0x7ff7ce451e0b]
	chromedriver!(No symbol) [0x7ff7ce45272f]
	chromedriver!(No symbol) [0x7ff7ce461dea]
	chromedriver!(No symbol) [0x7ff7ce478a27]
	chromedriver!(No symbol) [0x7ff7ce4808ca]
	chromedriver!(No symbol) [0x7ff7ce452ef1]
	chromedriver!(No symbol) [0x7ff7ce478755]
	chromedriver!(No symbol) [0x7ff7ce50ee69]
	chromedriver!(No symbol) [0x7ff7ce4b3a58]
	chromedriver!(No symbol) [0x7ff7ce4b4953]
	chromedriver!GetHandleVerifier [0x7ff7ceef5511+5dab11]
	chromedriver!GetHandleVerifier [0x7ff7ceeef8fb+5d4efb]
	chromedriver!GetHandleVerifier [0x7ff7cef13205+5f8805]
	chromedriver!GetHandleVerifier [0x7ff7ce94cc6e+3226e]
	chromedriver!GetHandleVerifier [0x7ff7ce95562c+3ac2c]
	chromedriver!GetHandleVerifier [0x7ff7ce939984+1ef84]
	chromedriver!GetHandleVerifier [0x7ff7ce939b14+1f114]
	chromedriver!GetHandleVerifier [0x7ff7ce91ca77+2077]
	KERNEL32!BaseThreadInitThunk [0x7ffd6194e957+17]
	ntdll!RtlUserThreadStart [0x7ffd62787c1c+2c]
",,,
Cerveza Andes Origen IPA Andina Lata 473 Ml.,3190.0,2392.5,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-andes-origen-ipa-andina-lata-473-ml-298961/p,2403,,,Cerveza Andes Origen IPA Andina Lata 473 Ml.,2026-06-13 13:13:48
Cerveza Fresh Lager Salta Cautiva 473 Ml.,3105.0,2328.75,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-fresh-lager-salta-cautiva-473-ml-309504/p,2404,,,Cerveza Fresh Lager Salta Cautiva 473 Ml.,2026-06-13 13:13:53
Cerveza Lager Amstel 473 Ml.,2725.0,2725.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-lager-amstel-473-ml-300450/p,2405,,,Cerveza Lager Amstel 473 Ml.,2026-06-13 13:13:56
Cerveza Ipa Salta Cautiva 473 Ml.,3105.0,2328.75,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-ipa-salta-cautiva-473-ml-304642/p,2406,,,Cerveza Ipa Salta Cautiva 473 Ml.,2026-06-13 13:14:00
Cerveza Ipa Imperial lata 473 Ml.,3295.0,3295.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-ipa-imperial-lata-473-ml-259711/p,2407,,,Cerveza Ipa Imperial lata 473 Ml.,2026-06-13 13:14:05
Cerveza Lata Grolsch 473 Cc.,3925.0,2943.75,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-lata-grolsch-473-cc-241795/p,2408,,,Cerveza Lata Grolsch 473 Cc.,2026-06-13 13:14:12
Cerveza Rubia Salta Cautiva en lata 473 Ml.,3105.0,2328.75,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-rubia-salta-cautiva-en-lata-473-ml-279836/p,2409,,,Cerveza Rubia Salta Cautiva en lata 473 Ml.,2026-06-13 13:14:16
Cerveza Heineken Lata 473 ml.,3700.0,2775.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-heineken-lata-473-ml-202696/p,2410,,,Cerveza Heineken Lata 473 ml.,2026-06-13 13:14:21
Cerveza Imperial Stout lata 473 Ml.,3295.0,3295.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-imperial-stout-lata-473-ml-266947/p,2411,,,Cerveza Imperial Stout lata 473 Ml.,2026-06-13 13:14:30
Cerveza Imperial Lata 473 ml.,3105.0,3105.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-imperial-lata-473-ml-159292/p,2412,,,Cerveza Imperial Lata 473 ml.,2026-06-13 13:14:42
Cerveza Golden Imperial 473 Ml.,3105.0,3105.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-golden-imperial-473-ml-244806/p,2413,,,Cerveza Golden Imperial 473 Ml.,2026-06-13 13:14:47
Cerveza Session Ipa Antares 473 Ml.,4180.0,2717.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-session-ipa-antares-473-ml-295256/p,2414,,,Cerveza Session Ipa Antares 473 Ml.,2026-06-13 13:15:00
Malbec Phebu 750 Ml.,9457.0,9457.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/malbec-phebu-750-ml-305569/p,2415,,,Malbec Phebu 750 Ml.,2026-06-13 13:15:08
Vino Malbec Organico Argento Estate Bottled 750 Ml.,7568.0,7568.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-organico-argento-estate-bottled-750-ml-296626/p,2416,,,Vino Malbec Organico Argento Estate Bottled 750 Ml.,2026-06-13 13:15:12
Vino Malbec Lopez 750 Ml.,5700.0,4790.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-lopez-750-ml-180717/p,2417,,,Vino Malbec Lopez 750 Ml.,2026-06-13 13:15:47
Vino Malbec El Cazador 750 Ml.,6416.0,6416.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-el-cazador-750-ml-310080/p,2418,,,Vino Malbec El Cazador 750 Ml.,2026-06-13 13:16:04
Vino Tinto Estancia Mendoza Malbec 750 ml.,4100.0,4100.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-tinto-estancia-mendoza-malbec-750-ml-117701/p,2419,,,Vino Tinto Estancia Mendoza Malbec 750 ml.,2026-06-13 13:16:16
Vino Tinto Elementos Malbec 750 ml.,6958.0,5390.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-tinto-elementos-malbec-750-ml-81294/p,2420,,,Vino Tinto Elementos Malbec 750 ml.,2026-06-13 13:16:22
Vino Tinto Alma Mora Malbec 750 ml.,7734.0,5990.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-tinto-alma-mora-malbec-750-ml-104269/p,2421,,,Vino Tinto Alma Mora Malbec 750 ml.,2026-06-13 13:16:28
Vino Tinto Finca Las Moras Malbec 750 ml.,5240.0,4590.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-tinto-finca-las-moras-malbec-750-ml-100322/p,2422,,,Vino Tinto Finca Las Moras Malbec 750 ml.,2026-06-13 13:16:47
Vino Malbec Portillo 750 Ml.,6800.0,5990.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-portillo-750-ml-295414/p,2423,,,Vino Malbec Portillo 750 Ml.,2026-06-13 13:17:01
Vino Malbec Talisman 750 Ml.,4910.0,4910.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-talisman-750-ml-298700/p,2424,,,Vino Malbec Talisman 750 Ml.,2026-06-13 13:17:07
Vino Tinto Norton Elegido Malbec 750 Ml.,5290.0,5290.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-tinto-norton-elegido-malbec-750-ml-215542/p,2425,,,Vino Tinto Norton Elegido Malbec 750 Ml.,2026-06-13 13:17:30
Vino Bonarda Malbec Dadá 1 750 ml.,7743.0,7743.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-bonarda-malbec-dada-1-750-ml-170288/p,2426,,,Vino Bonarda Malbec Dadá 1 750 ml.,2026-06-13 13:17:41
Vino Malbec Chacabuco 750 Ml.,5310.0,5310.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-chacabuco-750-ml-299054/p,2427,,,Vino Malbec Chacabuco 750 Ml.,2026-06-13 13:17:47
Vino Malbec Sexy Fish 750 Ml.,8039.0,8039.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-sexy-fish-750-ml-298688/p,2428,,,Vino Malbec Sexy Fish 750 Ml.,2026-06-13 13:17:52
Vino Tinto Nampe Malbec 750 ml.,4630.0,4630.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-tinto-nampe-malbec-750-ml-206288/p,2429,,,Vino Tinto Nampe Malbec 750 ml.,2026-06-13 13:18:23
Vino Malbec Wampa 750 Ml.,5465.0,4990.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-wampa-750-ml-296384/p,2430,,,Vino Malbec Wampa 750 Ml.,2026-06-13 13:18:36
Vino Malbec Dadá Art 750 ml.,7743.0,7743.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-dada-art-750-ml-210848/p,2431,,,Vino Malbec Dadá Art 750 ml.,2026-06-13 13:18:50
Vino Malbec Benjamin Nieto Senetiner 750 Ml.,6100.0,5490.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-benjamin-nieto-senetiner-750-ml-138022/p,2432,,,Vino Malbec Benjamin Nieto Senetiner 750 Ml.,2026-06-13 13:19:16
Vino Malbec Finca Norte 750 Ml.,4565.0,4565.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-finca-norte-750-ml-263987/p,2433,,,Vino Malbec Finca Norte 750 Ml.,2026-06-13 13:19:28
Vino Malbec Cantus 750 Ml.,4950.0,3990.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-cantus-750-ml-305388/p,2434,,,Vino Malbec Cantus 750 Ml.,2026-06-13 13:19:38
Vino Malbec Pato Criollo 750 Ml.,3684.0,3684.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-pato-criollo-750-ml-12630/p,2435,,,Vino Malbec Pato Criollo 750 Ml.,2026-06-13 13:20:19
