nombre,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,url,id_link_producto,producto_nombre,fecha_extraccion,error_type,titulo
Desodorante Axe Aerosol Marine 150 Ml,4535.04,4535.04,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/desodorante_axe_aerosol_marine_150_ml,4330,,,,
Alimento Humedo Para Gatos Sabor Atun Felix 85 Gr.,1450.0,1450.0,,,4x3,,Dia,https://diaonline.supermercadosdia.com.ar/alimento-humedo-para-gatos-sabor-atun-felix-85-gr-309217/p,2659,Alimento Humedo Para Gatos Sabor Atun Felix 85 Gr.,2026-06-24 19:00:29,,
Galletitas Gold Mundo anillos chocolate y vainilla 250 g.,,,,,,,,https://www.carrefour.com.ar/galletitas-gold-mundo-anillos-chocolate-y-vainilla-250-g-621326/p,2801,,,no_disponible,Galletitas Gold Mundo anillos chocolate y vainilla 250 g. - Carrefour
Yerba Mate Cbse Hierbas Serranas 500 Gr.,2605.0,2605.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/yerba-mate-cbse-hierbas-serranas-500-gr-274352/p,2494,Yerba Mate Cbse Hierbas Serranas 500 Gr.,2026-06-24 19:00:49,,
Desodorante Dove Original 50 Ml.,3499.0,2799.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/desodorante-dove-original-50-ml-274286/p,2586,Desodorante Dove Original 50 Ml.,2026-06-24 19:00:53,,
Milanesa de nalga Novillito x kg.,24700,24700,24700,1 K.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/milanesa-de-nalga-novillito-x-kg-662863/p,3246,,,,
Vino Malbec Wampa 750 Ml.,5465.0,4990.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-wampa-750-ml-296384/p,2430,Vino Malbec Wampa 750 Ml.,2026-06-24 19:01:11,,
DESD LYSOFORM AERO ORIG 360X,3111.30,3111.30,0,,Ninguno,2026-06-24,Depot,https://depotexpress.com.ar/productos/limpieza/des-lysoform-aero-orig-360x/,3751,,,,
Pan Mignon X 1 Ud.,145.0,120.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/pan-mignon-x-1-ud-259356/p,2203,Pan Mignon X 1 Ud.,2026-06-24 19:01:45,,
Caldo Gallina Maggi X12 Unidades,1410.76,1410.76,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/caldo_gallina_maggi_x12_unidades2,4000,,,,
Aceite De Girasol Natura 900 Ml,4398.62,4398.62,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/aceite_de_girasol_natura_900_ml,3884,,,,
Huevo Color Grande 6 Ud.,2790.0,2790.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/huevo-color-grande-6-ud-31921/p,2285,Huevo Color Grande 6 Ud.,2026-06-24 19:02:09,,
Mermelada Frutilla Dulcor Pote 500 Gr,2303.67,2303.67,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/mermelada_frutilla_dulcor_pote_500_gr,4044,,,,
"Jugo Naranja Tentacion Cepita 1,5 Lt",3024.00,3024.00,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/jugo_naranja_tentacion_cepita_15_lt,4084,,,,
Te Clasico Big Ben 25 Saquitos,1593.50,1593.50,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/te_clasico_big_ben_25_saquitos,4242,,,,
Mayonesa Regular Hellmanns Dp 237 Gr,1292.42,1292.42,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/mayonesa_regular_hellmanns_dp_237_gr2,3982,,,,
Galletas Chocolate Chocolinas 170 Gr,2004.16,2004.16,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/galletas_chocolate_chocolinas_170_gr2,3810,,,,
TOAF DONCELLA C/ALAS C/D 8X,637.97,637.97,0,,Ninguno,2026-06-24,Depot,https://depotexpress.com.ar/productos/tocador-y-cosmtica/toaf-doncella-c-alas-c-d-8x/,3725,,,,
Galletitas dulces Cachafaz miel y avena orgánicas 170 g.,2499,2499,14700,1 K.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/galletitas-dulces-cachafaz-miel-y-avena-organicas-170-g/p,2740,,,,
CERVEZA ANTARES PLAYA GRANDE LATA 500X,2175.00,2175.00,0,,Ninguno,2026-06-24,Depot,https://depotexpress.com.ar/productos/bebidas-c-alcohol/cerveza/cerv-antares-playa-grande-lata-500x/,3584,,,,
Jabón de tocador Dove original multipack x3 90 grs,6915,5186.25,25611.11,1 K.,2do al 50% max 8 unidades combinable dove,2026-06-24,Carrefour,https://www.carrefour.com.ar/jabon-de-tocador-dove-original-multipack-x3-90-grs-615379/p,3303,,,,
Te Negro Morenita 25 Ud 307681,0.0,0.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/te-negro-morenita-25-ud-307681/p,2509,Te Negro Morenita 25 Ud 307681,2026-06-24 18:54:32,,
Bola de Lomo Aguma el kg a,15560.93,15560.93,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/bola_de_lomo_aguma_el_kg_a,4265,,,,
Shampoo Elvive reparación total 5 400 cc,11409,6845.40,17113.50,1 L.,40% off max 8 unidades,2026-06-24,Carrefour,https://www.carrefour.com.ar/shampoo-elvive-reparacion-total-5-400-cc-726120/p,3311,,,,
,,,,,,,,https://depotexpress.com.ar/productos/tocador-y-cosmtica/jabl-lux-h-rosas-francesas-250x/,3722,,,exception,"Message: timeout: Timed out receiving message from renderer: 6.523
  (Session info: chrome=149.0.7827.158)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff63cb13fa5+14925]
	chromedriver!GetHandleVerifier [0x7ff63cb14000+14980]
	chromedriver!(No symbol) [0x7ff63c65793d]
	chromedriver!(No symbol) [0x7ff63c644449]
	chromedriver!(No symbol) [0x7ff63c644131]
	chromedriver!(No symbol) [0x7ff63c641e01]
	chromedriver!(No symbol) [0x7ff63c64273f]
	chromedriver!(No symbol) [0x7ff63c651e1a]
	chromedriver!(No symbol) [0x7ff63c668a77]
	chromedriver!(No symbol) [0x7ff63c67093a]
	chromedriver!(No symbol) [0x7ff63c642f01]
	chromedriver!(No symbol) [0x7ff63c6687a5]
	chromedriver!(No symbol) [0x7ff63c6ff71a]
	chromedriver!(No symbol) [0x7ff63c6a401c]
	chromedriver!(No symbol) [0x7ff63c6a4f43]
	chromedriver!GetHandleVerifier [0x7ff63d0f7591+5f7f11]
	chromedriver!GetHandleVerifier [0x7ff63d0f1902+5f2282]
	chromedriver!GetHandleVerifier [0x7ff63d117115+617a95]
	chromedriver!GetHandleVerifier [0x7ff63cb31dce+3274e]
	chromedriver!GetHandleVerifier [0x7ff63cb3a82c+3b1ac]
	chromedriver!GetHandleVerifier [0x7ff63cb1d744+1e0c4]
	chromedriver!GetHandleVerifier [0x7ff63cb1d8d4+1e254]
	chromedriver!GetHandleVerifier [0x7ff63cb01447+1dc7]
	KERNEL32!BaseThreadInitThunk [0x7ffd6194e957+17]
	ntdll!RtlUserThreadStart [0x7ffd62787c1c+2c]
"
Shampoo Head & Shoulders Manzana Fresh 180ml,6749.88,6749.88,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/shampoo_head__shoulders_manzana_fresh__180ml,4312,,,,
